chapter	local_frame	score	bad_frame	manual_override
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	227	-0.07392934	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	228	-0.01408855	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	229	-0.01965352	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	230	0.02815653	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	231	0.00920073	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	232	0.06890190	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	233	0.02439087	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	234	0.17740371	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	235	0.18599193	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	236	0.23374538	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	237	0.26165396	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	238	0.32853522	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	239	0.32887220	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	240	0.39527988	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	241	0.43443487	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	242	0.55877708	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	243	0.52035558	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	244	0.54657410	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	245	0.46862486	0	0
